Geneid,GS1,GS2,GS3,IT21,IT22,IT23,IT51,IT52,IT53,HS1,HS2,HS3
PCA_NC_00263,715,731,688,17,6,14,16,10,4,116,36,75
PCA_NC_00262,704,668,617,105,77,121,520,483,429,167,218,239
PCA_NC_00269,0,0,0,0,0,0,0,0,0,4,2,0
PCA_NC_00368,16,35,20,4,3,0,50,32,46,117,170,154
PCA_NC_00369,378,360,290,269,211,317,2000,1946,1848,641,518,696
PCA_NC_00366,2,6,6,0,0,0,8,1,2,30,28,56
PCA_NC_00367,546,471,409,71,120,141,1032,943,996,665,1543,1518
PCA_NC_00364,0,0,0,0,0,0,2,0,0,6,2,10
PCA_NC_00365,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00362,2,2,2,0,0,0,4,4,2,0,4,2
PCA_NC_00363,6,2,2,0,0,0,0,0,0,0,4,0
PCA_NC_00360,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00361,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00373,7,8,2,8,3,10,44,20,42,106,114,106
PCA_NC_00372,7,8,3,2,5,6,74,71,70,18,33,65
PCA_NC_00241,14505,13050,13583,628,496,736,9171,9038,8836,6364,7873,9284
PCA_NC_00240,4,5,6,0,0,0,24,12,28,0,2,0
PCA_NC_00243,2799,2744,2664,209,203,282,2395,2382,2379,647,1389,1514
PCA_NC_00242,966,978,887,56,42,40,659,659,636,1721,2676,2818
PCA_NC_00245,5888,5171,5613,110,107,214,1912,1869,1934,5461,5073,5820
PCA_NC_00244,1240,1056,1219,148,144,206,1614,1550,1399,6802,5649,6285
PCA_NC_00247,2,0,4,33,30,22,22,24,14,15,34,4
PCA_NC_00246,27,35,22,24,12,23,24,22,11,274,271,363
PCA_NC_00429,26,12,14,241,244,329,461,368,436,1201,1503,1938
PCA_NC_00428,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00421,26,36,9,0,2,3,83,110,73,133,179,140
