"Spores" "UngerminatedSpores" "Haustoria" "X6dpi" "X9dpi" ""
"evm.model.pcontig_147.10" 3.065167686526 2.638540854026 -3.127699184684 -1.502118806884 -1.073890548984 1
"evm.model.pcontig_097.43" 3.007072013914 2.152330982314 -2.326384266666 -1.989884587066 -0.843134142496 1
"evm.model.pcontig_073.66" 3.255961240888 3.528716117458 -1.833775337402 -2.389724940402 -2.561177080542 1
"evm.model.pcontig_078.74" 2.3402635211748 2.8204069908948 -1.4334313900452 -2.4646517488092 -1.2625873732152 1
"evm.model.pcontig_078.67" 2.75360360432404 2.38755050385404 -1.17220864032896 -1.87514505305696 -2.09380041479216 1
"evm.model.pcontig_081.49" 3.538256298926 4.391445806626 -2.701710793814 -3.620269009284 -1.607722302454 1
"evm.model.pcontig_083.49" 2.41404136822792 3.62873436134792 -1.35289695487708 -1.32510353754668 -3.36477523715208 1
"evm.model.pcontig_091.18" 2.4932564072678 2.5281963336078 -1.2556064297022 -2.8213499921112 -0.9444963190622 1
"evm.model.pcontig_060.97" 3.288184749119 2.596872150929 -2.581505748157 -1.89233692986 -1.411214222031 1
"evm.model.pcontig_060.82" 3.7858162893066 3.0669209437466 -1.5145323793634 -3.6764437264464 -1.6617611272434 1
"evm.model.pcontig_065.77" 1.52909517883016 2.76538238827016 -0.88042585620614 -1.07236122029434 -2.34169049059984 1
"evm.model.pcontig_066.26" 2.4604871748584 1.9907466668084 1.3465658026384 -3.8704069144336 -1.9273927298716 1
"evm.model.pcontig_066.67" 3.35516309429142 0.78426489440142 -0.93987709255458 -1.19409889156368 -2.00545200457458 1
"evm.model.pcontig_067.20" 1.893931930468 2.552377646438 -0.284621608842 -2.020300486472 -2.141387481592 1
"evm.model.pcontig_069.13" 1.649124702874 2.829412309784 -1.859883791066 -1.740881719446 -0.877771502146 1
"evm.model.pcontig_050.3" 1.4281852516482 2.5602862479082 0.4465420122182 -2.2477207209428 -2.1872927908318 1
"evm.model.pcontig_052.152" 3.364352851218 1.048782292988 -0.626306985232 -2.318794002352 -1.468034156622 1
"evm.model.pcontig_052.23" 3.622232998478 4.245869982078 -2.174398776722 -2.494813864482 -3.198890339352 1
"evm.model.pcontig_052.70" 4.217358869544 3.901174502444 -1.626018503456 -3.090002287366 -3.402512581166 1
"evm.model.pcontig_054.116" 1.5108445862966 2.3022933032366 0.6205789129966 -2.2793616407764 -2.1543551617534 1
"evm.model.pcontig_055.66" 4.0012656131 3.8810824619 1.0066665247 -5.47938741033 -3.40962718937 1
"evm.model.pcontig_055.8" -1.9666709661564 5.6008068767336 2.6841151268436 -3.2005199703044 -3.1177310671164 1
"evm.model.pcontig_057.34" 3.481984147523 2.567343331623 -1.772096206879 -2.204579977042 -2.072651295225 1
"evm.model.pcontig_057.120" 4.670014359174 4.513728653474 -1.544762025696 -4.391094363156 -3.247886623796 1
"evm.model.pcontig_057.107" 2.122743601368 1.926950772068 0.269150789468 -4.023508558072 -0.295336604832 1
"evm.model.pcontig_059.13" 2.9861582701524 3.5158813436224 -2.0878156654536 -2.3760776931146 -2.0381462552066 1
"evm.model.pcontig_059.93" 1.8035685028724 3.2034727451024 -1.7758760273586 -1.4252451668276 -1.8059200537886 1
"evm.model.pcontig_041.57" 2.280223152464 4.418755296564 -1.942056190646 -4.317359911916 -0.439562346466 1
"evm.model.pcontig_041.201" 4.0251079491558 4.1550488042258 -2.0791993128782 -2.2157607001492 -3.8851967403542 1
"evm.model.pcontig_043.100" 1.5967953349962 3.3626536446862 -1.6306969293738 -0.7154564129638 -2.6132956373448 1
"evm.model.pcontig_045.45" 4.049770166232 4.236677225132 -0.331117225128001 -4.914086838938 -3.041243327298 1
"evm.model.pcontig_045.130" 2.530825380174 3.162261360974 -2.441118222656 -1.292737424996 -1.959231093496 1
"evm.model.pcontig_046.99" 1.9243469286414 2.7341412921414 -1.5110047798186 -4.1876402595956 1.0401568186314 1
"evm.model.pcontig_047.62" 2.7159257404126 3.3348822484526 -1.4907891605874 -2.2254663600554 -2.3345524682224 1
"evm.model.pcontig_047.43" 2.505424907984 2.117554413004 1.280089166644 -2.722034666666 -3.181033820966 1
"evm.model.pcontig_047.107" 2.6532619682894 2.1760789234294 0.4901187493794 -2.0701925242836 -3.2492671168146 1
"evm.model.pcontig_048.37" 3.518539837904 2.616901131954 -1.420709995506 -3.181957371786 -1.532773602566 1
"evm.model.pcontig_035.72" 4.46885390102 3.35697082752 -1.6851553601 -6.14055718924 -0.000112179200000284 1
