"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.model.hcontig_014_192.6",0.653157532632251,-1.1278003231631,1.57868615375474,-0.714391724080653,0.474984988012717,0.54654647131889
"evm.model.hcontig_014_192.5",0.100759729217466,0.94995171664001,2.37849541372491,0.399391863931455,0.68960448794559,NA
"evm.model.hcontig_014_192.3",0.604937814559664,3.88479813727249,1.95285229795865,1.98929439842088,0.0466687176109359,0.06830099690359
"evm.model.hcontig_014_192.8",0.0544456368733297,-0.786036459777689,2.37862524489673,-0.330458302107112,0.741053694623925,NA
"evm.model.hcontig_014_192.10",0.768830428236367,0.497632042419457,1.94329809527702,0.256076020261069,0.797892137838073,0.84103594052755
"evm.model.hcontig_049_206.5",146.641433088301,7.95230974519615,0.99227972595321,8.01418142203496,1.1087294824866e-15,5.99128807005932e-15
"evm.model.hcontig_049_206.2",2298.51352945846,0.887291282906378,0.123884226415772,7.16226196488091,7.93565869727558e-13,3.47957867369554e-12
"evm.model.hcontig_049_206.3",76.930996964292,3.08390622245536,0.323892844468221,9.52137805797664,1.70897561673188e-21,1.31069234057529e-20
"evm.model.hcontig_049_206.4",36.8773688372018,2.95080266824886,0.365697858057399,8.06896349878458,7.08974555431267e-16,3.89049787292908e-15
"evm.model.hcontig_020_215.2",2877.6703148305,-0.315162146019216,0.142004157030458,-2.21938676028772,0.0264604236082379,0.0404123502783761
"evm.model.hcontig_057_232.2",54.3025342705171,2.63639930649425,0.213102194150416,12.3715258634708,3.72673715865404e-35,5.19706992582313e-34
"evm.model.hcontig_031_159.9",843.557455535616,-1.20152019930799,0.141494892950265,-8.491615310316,2.03784594510254e-17,1.23633826686016e-16
"evm.model.hcontig_031_159.8",472.492398122172,-0.204576247725707,0.204255070268493,-1.00157243321691,0.316550140536959,0.384946015777631
"evm.model.hcontig_031_159.10",591.746141113229,1.58245976069327,0.439640823218038,3.59943771624787,0.00031890600223406,0.000641384753696259
"evm.model.hcontig_031_159.11",217.631435336844,0.624656455222332,0.182797432959528,3.41720583877473,0.000632674245997158,0.00122526907531654
"evm.model.hcontig_031_159.4",0.0830791497716493,-0.112488343061626,2.37870581134719,-0.0472897247423453,0.962282317389639,NA
"evm.model.hcontig_017_160.11",484.1025454337,-0.00632833441378092,0.181167898746416,-0.0349307711662473,0.972134943736862,0.983697308455842
"evm.model.hcontig_017_160.13",21.7616664729513,0.294034338523591,0.376141863360867,0.781711282802618,0.43438426934901,0.506573940718881
"evm.model.hcontig_017_160.18",101.321663905464,0.0177772669653232,0.233000102129232,0.0762972496701443,0.939182613913181,0.957503872521799
"evm.model.hcontig_017_160.14",27.0268536737215,0.266152560444313,0.33698969611759,0.789794357247768,0.429647875004064,0.501903717740245
"evm.model.hcontig_017_160.16",572.66737571298,-2.16281534732059,0.370844812866512,-5.83213050926267,5.47240883195335e-09,1.74948112236202e-08
"evm.model.hcontig_017_160.17",653.372579136819,-2.01475729500068,0.405749687670119,-4.96551779637771,6.85180091419384e-07,1.81770643058442e-06
"evm.model.hcontig_017_160.10",26.0719174386324,4.78375209673976,0.74705375821876,6.40349110637756,1.51863705537417e-10,5.54643650007705e-10
"evm.model.hcontig_017_160.12",1064.26301740922,-0.0508715235355806,0.180090921575157,-0.282476890509722,0.777577864066578,0.82344267598761
"evm.model.hcontig_017_160.15",22.2119415239394,-0.106852538022505,0.332663546635363,-0.321203026611232,0.748056538671299,0.79964161993937
"evm.model.hcontig_017_160.9",386.724133055956,-1.05281730161189,0.175244977332951,-6.00768888007342,1.88186514312874e-09,6.2738365570589e-09
"evm.model.hcontig_017_160.7",6.16681354065563,3.28780134026876,1.0428510975904,3.15270449239161,0.00161765473994245,0.00297382927485232
"evm.model.hcontig_017_160.2",800.531794226832,0.531813959987699,0.322757247617345,1.64772120196727,0.0994098952183277,0.136497385214706
"evm.model.hcontig_017_160.3",225.677487434355,-0.732070290001936,0.193726137223281,-3.77889272193653,0.00015752726549373,0.000328368801290349
"evm.model.hcontig_017_160.4",220.998312423571,0.282857548090494,0.147088154626182,1.92304777233329,0.0544740505455012,0.0788100058972945
"evm.model.hcontig_017_160.5",533.442021257964,-0.917325995989537,0.118002574262613,-7.77377952745373,7.61782818685795e-15,3.87242539836804e-14
"evm.model.hcontig_017_160.8",379.332296134644,-0.742202318421888,0.144489646475468,-5.1367162736321,2.79580562913221e-07,7.66907442632492e-07
"evm.model.hcontig_037_161.1",383.511849348353,2.21909375787693,0.333194938842213,6.66004641483406,2.7374112135217e-11,1.0604690458313e-10
