"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.model.pcontig_225.6",0.0468699681463813,0,2.36115904821376,0,1,NA
"evm.model.pcontig_225.3",14.9045761527872,-1.73353348886917,0.563804417534194,-3.07470717673835,0.00210709319276983,0.00515777734159129
"evm.model.pcontig_225.8",0.159057103474258,0,2.36115904821376,0,1,NA
"evm.model.pcontig_225.9",2.19273618314575,2.34475660969234,1.45772248087548,1.60850685947034,0.107724215103955,0.168007913294086
"evm.model.pcontig_166.5",27.6700412863821,-4.65588060602954,0.916341028739599,-5.08094744206048,3.75557024852729e-07,1.87949252096751e-06
"evm.model.pcontig_166.6",361.901260489089,0.46731651450572,0.289227047175438,1.61574278432631,0.106149936563691,0.165945327732819
"evm.model.pcontig_166.3",304.159329068823,1.17502810098289,0.166809236683109,7.04414290447909,1.86606555117225e-12,2.01274585053054e-11
"evm.model.pcontig_166.4",169.250167005386,0.79079508337702,0.230596391961083,3.42934716650068,0.000605035077850562,0.00166156037406727
"evm.model.pcontig_166.8",0.265765913668376,0,2.36115904821376,0,1,NA
"evm.model.pcontig_189.3",1.84978031525124,-1.56730239070732,1.38934210745231,-1.12808960608079,0.25928207828747,0.351239485866239
"evm.model.pcontig_189.4",0.101175159116762,0,2.36115904821376,0,1,NA
"evm.model.pcontig_189.5",96.0623138358742,3.07845404481057,0.349969950986804,8.79633818883682,1.41353154116846e-18,3.01973437121713e-17
"evm.model.pcontig_189.8",0.166662686699241,0,2.31979503872923,0,1,NA
"evm.model.pcontig_129.3",99.0816935553057,2.14384537432101,0.495766508007756,4.32430456614764,1.53013781603173e-05,5.74366147289095e-05
"evm.model.pcontig_129.2",7.40891043187134,-5.67633712556119,1.2715502643465,-4.46410754236167,8.04031754120728e-06,3.17219400009216e-05
"evm.model.pcontig_129.5",4.90785562263327,-3.59399703605242,1.27015958223337,-2.82956337638531,0.00466115672353723,0.0105723218688187
"evm.model.pcontig_129.4",52.5906583588045,-2.8104278920773,0.901112261438876,-3.11884324777655,0.00181562525605639,0.00451177691747707
"evm.model.pcontig_129.20",0.121549650015286,0,2.36115904821376,0,1,NA
"evm.model.pcontig_147.2",58.0938229025537,-0.392423803696783,1.00527072569681,-0.39036629006059,0.696265711127792,0.775113009728542
"evm.model.pcontig_147.1",0.0680554840591011,0,2.36115904821376,0,1,NA
"evm.model.pcontig_147.5",323.444202561468,0.322405623852366,0.15780247784454,2.04309607970786,0.0410429279264067,0.073359076128325
"evm.model.pcontig_147.3",29.6340143458234,-0.483550363688296,0.422525345886186,-1.14442924760908,0.252445664502363,0.343498112454458
"evm.model.pcontig_147.7",863.13776289028,-0.0842316404435179,0.141550470288325,-0.5950643630639,0.551800448756086,0.646222850073084
"evm.model.pcontig_147.4",19.2094047393009,2.50573258783997,0.686356388552133,3.65077477187297,0.000261450438481964,0.000773221785065153
"evm.model.pcontig_147.10",578.871544760139,1.38336132966377,0.64940234853439,2.13020684755118,0.0331545399891828,0.0608716765180033
"evm.model.pcontig_147.17",0.231927651050958,-0.439971721251049,2.3612693522956,-0.186328476598111,0.852187177380715,NA
"evm.model.pcontig_147.9",0.357785810066642,-0.571237028500138,2.36122199691363,-0.241924321070533,0.808838804315922,NA
"evm.model.pcontig_147.6",229.44394278901,-0.210914230418444,0.237953480784022,-0.886367493862717,0.375419529696288,0.47252507600884
"evm.model.pcontig_148.10",144.745430398296,0.2298225760922,0.208659451489657,1.10142423193129,0.270712063884161,0.364187126867187
"evm.model.pcontig_148.13",69.3278753290298,1.09649184581303,0.412155976202908,2.66038080028523,0.00780523495333398,0.0167609818121269
"evm.model.pcontig_148.14",3.22774529075699,-0.0780389970661219,1.106583005284,-0.0705224973576141,0.943777794824946,0.979211518519224
"evm.model.pcontig_148.17",0.0635552954743862,0,2.36115904821376,0,1,NA
"evm.model.pcontig_148.12",818.602278613749,0.765003317020753,0.2196879467975,3.4822270778738,0.000497261821181251,0.00138888922520811
"evm.model.pcontig_148.9",29.1622090147204,-4.36000341903173,0.818085285954573,-5.32952186512475,9.84716652746045e-08,5.44558189068757e-07
"evm.model.pcontig_095.32",238.541987106777,1.42877608513807,0.218453316956148,6.54041836052727,6.13469784912394e-11,5.46536793832243e-10
"evm.model.pcontig_095.33",17.1116173032891,-1.57089911126587,0.549513048038845,-2.85871121144847,0.00425365831638472,0.00973080247114297
"evm.model.pcontig_095.36",65.8537877537696,2.45105066824482,0.567167945668528,4.32156063642796,1.54929461367116e-05,5.81029404333242e-05
"evm.model.pcontig_095.38",21.2902904653664,4.79254831526158,0.875778901414466,5.47232675681175,4.44164890924554e-08,2.6080491730957e-07
"evm.model.pcontig_095.6",409.574968983455,0.214856826013904,0.152844884758348,1.40571813282204,0.159807840322435,0.233182372020073
"evm.model.pcontig_095.18",103.557545083313,2.3758442926077,0.290226477052009,8.18617349023583,2.69662919234135e-16,4.56384479993492e-15
