"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.model.pcontig_225.6",0.0468699681463813,0.991456625628537,2.36146489395473,0.419848132473463,0.674596400311619,NA
"evm.model.pcontig_225.3",14.9045761527872,5.20888987669289,1.15707851084056,4.50176010347726,6.73930244136533e-06,1.82987252555217e-05
"evm.model.pcontig_225.8",0.159057103474258,0.0790037007090991,2.36155047704558,0.0334541655903696,0.973312415914106,NA
"evm.model.pcontig_225.9",2.19273618314575,-0.517099107782203,0.654243577593253,-0.790377048383784,0.429307602018132,0.49808746531534
"evm.model.pcontig_166.5",27.6700412863821,2.85599496661517,0.601318671006989,4.74955311437847,2.03866648837281e-06,5.91246666712495e-06
"evm.model.pcontig_166.6",361.901260489089,-1.94035874371868,0.244544559671508,-7.93458151890652,2.11206258763146e-15,1.46915525002362e-14
"evm.model.pcontig_166.3",304.159329068823,0.289280581608801,0.128155498420737,2.2572623506101,0.0239916864314086,0.0383502634171795
"evm.model.pcontig_166.4",169.250167005386,-1.67482648302831,0.114231115766006,-14.6617361810513,1.13337406408172e-48,3.69580398083218e-47
"evm.model.pcontig_166.8",0.265765913668376,1.33192870560838,2.36197192338494,0.563905392956408,0.572818519625595,NA
"evm.model.pcontig_189.3",1.84978031525124,-1.11829961099502,1.05109341188768,-1.06393932104155,0.287356188653461,0.352918442436224
"evm.model.pcontig_189.4",0.101175159116762,0.737781345662947,2.36142944948474,0.312429975760626,0.754713772345246,NA
"evm.model.pcontig_189.5",96.0623138358742,1.90945890145757,0.187414700029399,10.188415856163,2.23374333666217e-24,2.69834919555108e-23
"evm.model.pcontig_189.8",0.166662686699241,0.149973361842747,2.30647211948958,0.0650228375081924,0.948155817027257,NA
"evm.model.pcontig_129.3",99.0816935553057,-0.531086637108991,0.221696342427003,-2.39555885900039,0.0165950495888227,0.0274272089102768
"evm.model.pcontig_129.2",7.40891043187134,2.90593820628035,1.38519608446805,2.09785332117533,0.0359181045703823,0.0553572535970449
"evm.model.pcontig_129.5",4.90785562263327,0.443299709995509,0.820785477049562,0.540092048885926,0.589133553783387,0.650688263670955
"evm.model.pcontig_129.4",52.5906583588045,8.15066948083204,1.31726416755791,6.18757397458298,6.10971783738492e-10,2.62705448881866e-09
"evm.model.pcontig_129.20",0.121549650015286,1.58273637057253,2.36167613053184,0.670175029552465,0.502746219895828,NA
"evm.model.pcontig_147.2",58.0938229025537,6.87530375302152,1.0106487234962,6.80286195705802,1.02560915464861e-11,5.25663517058542e-11
"evm.model.pcontig_147.1",0.0680554840591011,1.18403953153327,2.36152688315726,0.50138727616357,0.616098592796185,NA
"evm.model.pcontig_147.5",323.444202561468,0.297427146227527,0.125027773952541,2.37888860070744,0.0173649228889134,0.0286074131190471
"evm.model.pcontig_147.3",29.6340143458234,5.99603498507773,0.67852473947894,8.8368701039291,9.84374810747964e-19,8.63637081238909e-18
"evm.model.pcontig_147.7",863.13776289028,0.169994698748665,0.124312302444688,1.36748089614303,0.171474621233843,0.224563684110622
"evm.model.pcontig_147.4",19.2094047393009,5.79006377565493,0.690634185590248,8.38369124561431,5.12932304512148e-17,4.0096380238169e-16
"evm.model.pcontig_147.10",578.871544760139,-3.68183433120011,0.596258948820283,-6.17489152738879,6.62089114614423e-10,2.8367585255024e-09
"evm.model.pcontig_147.17",0.231927651050958,-0.627943893178556,2.36181312676128,-0.265873657006745,0.79033651377453,NA
"evm.model.pcontig_147.9",0.357785810066642,0,2.36128991164737,0,1,NA
"evm.model.pcontig_147.6",229.44394278901,0.154417512386089,0.197238546802388,0.782897232257545,0.433687462949606,0.502239402145828
"evm.model.pcontig_148.10",144.745430398296,0.174589920606469,0.154572325109862,1.12950310142763,0.258685661964761,0.321887812888141
"evm.model.pcontig_148.13",69.3278753290298,0.256697699817028,0.316856284794105,0.810139208644167,0.417860171785077,0.486976005184592
"evm.model.pcontig_148.14",3.22774529075699,4.9261665807684,1.26399358687609,3.89730346096393,9.72697044969163e-05,0.000226467530458909
"evm.model.pcontig_148.17",0.0635552954743862,0.999259328131967,2.36146634414185,0.423152051525467,0.672184327501768,NA
"evm.model.pcontig_148.12",818.602278613749,-0.182390357333953,0.205997981391969,-0.885398760228162,0.375941600839728,0.445050059639868
"evm.model.pcontig_148.9",29.1622090147204,-1.30331579342445,0.531720643470417,-2.45112882004733,0.0142408977460769,0.0238296374782089
"evm.model.pcontig_095.32",238.541987106777,0.863426686960396,0.191241425923553,4.51485175238937,6.33610733725898e-06,1.72482355759644e-05
"evm.model.pcontig_095.33",17.1116173032891,0.0175205044814532,0.361706297402197,0.048438483397405,0.961366789969891,0.972797001241085
"evm.model.pcontig_095.36",65.8537877537696,7.23542555228414,0.713273971053846,10.1439640950222,3.52498287819434e-24,4.22498656023803e-23
"evm.model.pcontig_095.38",21.2902904653664,8.85107828458266,1.12595012713927,7.86098608743076,3.81121121514781e-15,2.59979599375903e-14
"evm.model.pcontig_095.6",409.574968983455,0.908781347314071,0.134024458313261,6.78071270536261,1.19584470915072e-11,6.08127279377007e-11
"evm.model.pcontig_095.18",103.557545083313,-0.67658293399309,0.111150640865662,-6.08708081864159,1.14987934307084e-09,4.79442177928822e-09
"evm.model.pcontig_095.10",15.1119255879927,8.88813201834981,1.35422882499369,6.56324238142785,5.26501600578918e-11,2.5163832499852e-10
"evm.model.pcontig_095.11",229.745084304504,0.50476285851538,0.244339903328565,2.06582245322666,0.0388452471815657,0.0594839814785394
"evm.model.pcontig_095.17",49.6950785488262,-0.387266592554202,0.205128750445559,-1.8879196198145,0.0590367421789086,0.0866630084687179
"evm.model.pcontig_095.16",31.9937499654563,-0.499449246311126,0.231882806062868,-2.15388650323524,0.0312490736614449,0.048846339950706
"evm.model.pcontig_095.13",499.48948121041,0.751528374006955,0.525273860560041,1.43073628907725,0.152505808636917,0.202543137144894
"evm.model.pcontig_095.40",8.30450569877544,0.55175411191828,0.396722365481638,1.39078146312328,0.164291705871607,0.216379208573625
"evm.model.pcontig_095.14",14.2272369170489,3.67498905957138,0.800753893878238,4.58941141300301,4.44497586967455e-06,1.23383256713748e-05
"evm.model.pcontig_095.15",0.651860844827054,-0.341087320585487,1.87125210773103,-0.182277587918963,0.855364886285678,NA
"evm.model.pcontig_095.43",8.61537563233254,1.62339150360879,0.411281263823428,3.94715647515065,7.90848729450011e-05,0.000186515104476198
"evm.model.pcontig_095.42",17.6571427162762,-1.10050785864713,0.346439998186717,-3.17661893663329,0.00149002677765177,0.00294903674248375
"evm.model.pcontig_095.41",280.980774294649,1.56519259418824,0.194320801897839,8.05468369264509,7.96846029301297e-16,5.72403319180609e-15
"evm.model.pcontig_095.44",1.62770529290322,-2.74829446185166,1.36106784618648,-2.01921929869403,0.0434644313380777,0.065927149276082
"evm.model.pcontig_095.3",57.6368710628761,-0.617934055826766,0.227527052001667,-2.71587070807843,0.00661017268108676,0.011769654124641
"evm.model.pcontig_095.21",645.122942575145,2.32474006698476,0.321959093477069,7.22060694692053,5.17560474482899e-13,2.96620164922065e-12
"evm.model.pcontig_095.25",54.82569270533,0.985735074905749,0.491804022600143,2.0043249538591,0.0450352624801791,0.0679847276973108
"evm.model.pcontig_095.24",210.696364374997,8.52847116185028,1.20818708155089,7.05889948012249,1.67826414995287e-12,9.27594463546779e-12
"evm.model.pcontig_095.28",101.439757620198,-0.899258580614732,0.215376004061696,-4.17529605738777,2.97598764477118e-05,7.42308252028114e-05
"evm.model.pcontig_095.4",39.370590046563,-0.622401926829821,0.247509944731474,-2.51465421926812,0.0119149178867704,0.0202457901923397
"evm.model.pcontig_095.5",148.697837584507,-0.790627961627195,0.283243926585655,-2.79133244323282,0.00524915276436462,0.00953899510191203
"evm.model.pcontig_095.8",381.581474708114,1.31516568174008,0.128286320413034,10.2517998607002,1.16160070194149e-24,1.42147001299044e-23
"evm.model.pcontig_095.9",303.432616128251,0.550275218001134,0.162630512236034,3.38359149482658,0.000715443649833932,0.00148438988963951
"evm.model.pcontig_095.12",5.18171483777994,0.940749542582963,0.801520049534608,1.17370681261086,0.240512480557309,0.301893734402722
"evm.model.pcontig_096.10",1.85911937069441,1.11896124530296,1.91471083980778,0.584402209482083,0.558949740581599,0.623494951858884
"evm.model.pcontig_096.1",0.614099614918827,2.0782815190222,2.20720501881795,0.941589703404717,0.346402743391647,NA
"evm.model.pcontig_097.44",7.80525408889709,-0.510545739212123,0.433408394636828,-1.17797842757506,0.23880520651349,0.300125998408849
"evm.model.pcontig_097.8",3.67864615347425,-1.18058174570416,0.855349932658038,-1.38023246466561,0.167515081236126,0.219974025049674
"evm.model.pcontig_097.1",11.4235861225053,-2.22132093152631,0.566038094943085,-3.92433115610296,8.69710316795073e-05,0.000203976959554321
"evm.model.pcontig_097.2",34.8434102085496,-0.0958416606596637,0.255434496167867,-0.375210326316607,0.707504050999813,0.757739435458855
"evm.model.pcontig_097.3",1296.21594891684,-12.0128400713231,0.928866066099594,-12.9328010891455,2.93912346867165e-38,6.71278347959501e-37
"evm.model.pcontig_097.4",168.152288638204,1.25434515904442,0.178037074022556,7.04541548961597,1.84908911203767e-12,1.01868437930096e-11
"evm.model.pcontig_097.5",1.61582620957426,-0.0714995172152273,0.851214573210279,-0.0839970548736887,0.933058773365192,0.950218320774477
"evm.model.pcontig_097.6",39.7070524809934,1.5969806932297,0.293134127647364,5.44795212364645,5.09530682757206e-08,1.7905517597556e-07
"evm.model.pcontig_097.7",153.456963503493,8.01761050464402,1.6902838071259,4.74335166132656,2.10210887493901e-06,6.08450326654144e-06
"evm.model.pcontig_097.10",451.097962159453,0.711133727735065,0.181417101313271,3.91988253911674,8.85921366261247e-05,0.000207491464193265
"evm.model.pcontig_097.16",55.0519066587261,-1.44917066720938,0.185348066544993,-7.81864464098736,5.33951089609105e-15,3.590221788059e-14
"evm.model.pcontig_097.14",337.890152702841,-0.42981873515928,0.391527303522957,-1.09780015669859,0.272291763038728,0.336689252405015
"evm.model.pcontig_097.36",0.084740811387106,1.26040184927549,2.36155749999867,0.533716350025864,0.593537795452722,NA
"evm.model.pcontig_097.15",25.8705311162524,-0.367038266560056,0.238618423372077,-1.53818075475143,0.124004425212813,0.168471613735381
"evm.model.pcontig_097.26",84.0094994434111,-0.885337965802413,0.191735495824091,-4.61749642129214,3.88397377602168e-06,1.08666510473452e-05
"evm.model.pcontig_097.41",758.697081804684,-1.33603607945852,0.516969841450968,-2.5843598065773,0.0097559957963662,0.0168772843563019
"evm.model.pcontig_097.43",418.500365755856,-2.76580404141197,0.98407524775075,-2.8105615375792,0.0049455130568529,0.00904059872263755
"evm.model.pcontig_097.42",40.2430582391345,0.106141685837393,0.231361100517008,0.458770664559448,0.646398862927595,0.703379049455836
"evm.model.pcontig_097.27",292.107555601079,-1.26762267907545,0.0988796103241649,-12.8198591693444,1.26930858807371e-37,2.83775145899067e-36
"evm.model.pcontig_097.23",21.611963773808,0.721068388816748,0.415128054638898,1.73697821854988,0.0823910155936853,0.117076872200464
"evm.model.pcontig_097.22",24.5927876010189,-2.35766782768418,0.25610350669171,-9.20591778746032,3.38763702371365e-20,3.2649412864083e-19
"evm.model.pcontig_097.21",29.0390048066359,0.0445591226883261,0.434897083817457,0.102459005466749,0.918392350450357,0.938862708488181
"evm.model.pcontig_097.28",247.91091465707,-1.64992905899622,0.117729281981243,-14.0146022402403,1.26907308609201e-44,3.67141759128566e-43
"evm.model.pcontig_097.40",7.2543603664058,6.13765321743973,1.35806092073358,4.5194240727613,6.20080802341892e-06,1.6898949273485e-05
"evm.model.pcontig_097.39",6.08748663593601,0.502471503349709,0.726292690994664,0.691830593340503,0.489043721731504,0.556820233220127
"evm.model.pcontig_104.30",17.1494414710557,-0.0924467120725873,0.323366495055636,-0.285888344915517,0.774963640772767,0.816706186962968
"evm.model.pcontig_104.4",74.6293100473362,7.32451216706118,0.816203256967329,8.9738825525838,2.86242475242526e-19,2.59936700843241e-18
"evm.model.pcontig_104.7",1.73536767373918,1.99327738573389,1.25106490556368,1.5932645675452,0.111100851853819,0.152830270403481
"evm.model.pcontig_104.43",10.9278792816538,-0.612890896985936,0.34126722494903,-1.79592662927849,0.0725061866808412,0.104335915601272
"evm.model.pcontig_104.31",0.132441430932355,-0.250116367786442,2.361394835217,-0.105918910322109,0.915646690199051,NA
