"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.model.pcontig_225.6",0.0468699681463813,0,2.36115904821376,0,1,NA
"evm.model.pcontig_225.3",14.9045761527872,8.96368589048956,1.13633488699441,7.88824315180395,3.06470204103274e-15,1.51387556305438e-14
"evm.model.pcontig_225.8",0.159057103474258,0.710537054809501,2.36129771988231,0.300909558683229,0.763483461166967,NA
"evm.model.pcontig_225.9",2.19273618314575,-2.91073636914165,1.18253380871507,-2.46144029683552,0.0138380426898314,0.0215465397701527
"evm.model.pcontig_166.5",27.6700412863821,4.72104132790219,0.60318209791686,7.82689231694162,5.00077058448448e-15,2.43289275906517e-14
"evm.model.pcontig_166.6",361.901260489089,-2.73141371648134,0.264364744392071,-10.3319893231696,5.05021912483374e-25,4.42932746731577e-24
"evm.model.pcontig_166.3",304.159329068823,-0.49728861270459,0.151582348665965,-3.28064987171061,0.00103568224125807,0.00188663441622341
"evm.model.pcontig_166.4",169.250167005386,-2.21930129826798,0.17610207854917,-12.602357204139,2.0492713170494e-36,3.08944233734731e-35
"evm.model.pcontig_166.8",0.265765913668376,0.628248683571527,2.36152570422666,0.266035081662286,0.790212190989595,NA
"evm.model.pcontig_189.3",1.84978031525124,1.18866966689322,1.03305952824285,1.15063036968939,0.249884333412127,0.304091227795739
"evm.model.pcontig_189.4",0.101175159116762,0,2.36115904821376,0,1,NA
"evm.model.pcontig_189.5",96.0623138358742,-1.64018093266028,0.33236442123022,-4.93488721382777,8.01970899988191e-07,2.05800825850239e-06
"evm.model.pcontig_189.8",0.166662686699241,0.31975239017678,2.31237229092558,0.138278940390171,0.890019968742415,NA
"evm.model.pcontig_129.3",99.0816935553057,-4.01768144308784,0.433099233403564,-9.27658405560867,1.74999069866218e-20,1.19310806531672e-19
"evm.model.pcontig_129.2",7.40891043187134,8.45282793842195,1.2715502643465,6.64765536639339,2.97798575078083e-11,1.09875692731019e-10
"evm.model.pcontig_129.5",4.90785562263327,2.69996204037546,0.816000164809658,3.30877634198181,0.000937046602103211,0.00171525367779757
"evm.model.pcontig_129.4",52.5906583588045,10.4588059334927,1.31687994041117,7.94211044799354,1.98769820203874e-15,9.94635863101035e-15
"evm.model.pcontig_129.20",0.121549650015286,0,2.36115904821376,0,1,NA
"evm.model.pcontig_147.2",58.0938229025537,4.27986767717306,1.02791274612279,4.16364880513099,3.13201741739715e-05,6.82595447241869e-05
"evm.model.pcontig_147.1",0.0680554840591011,0,2.36115904821376,0,1,NA
"evm.model.pcontig_147.5",323.444202561468,-0.0682674993501704,0.13934201589344,-0.489927599456987,0.624185132159012,0.677093200176658
"evm.model.pcontig_147.3",29.6340143458234,6.45398360138125,0.689582598294577,9.35926112019467,8.02962353142039e-21,5.5973338669795e-20
"evm.model.pcontig_147.7",863.13776289028,-0.350455489573965,0.130482942037933,-2.68583375037699,0.00723490776738102,0.0117509986762299
"evm.model.pcontig_147.4",19.2094047393009,2.76422538691027,0.815059949860776,3.39143812351771,0.00069526860408839,0.00129043194460575
"evm.model.pcontig_147.10",578.871544760139,-5.56934717739581,0.628616149586047,-8.85969471363934,8.02338530009152e-19,5.05719004367236e-18
"evm.model.pcontig_147.17",0.231927651050958,1.13201892457344,2.36172550146631,0.479318584598678,0.631712002924769,NA
"evm.model.pcontig_147.9",0.357785810066642,2.12298300265565,2.36122199691363,0.899103517344245,0.368597524767252,NA
"evm.model.pcontig_147.6",229.44394278901,-0.326649449194355,0.211082527814533,-1.54749638720153,0.121743594974118,0.160179890532777
"evm.model.pcontig_148.10",144.745430398296,-0.0327508669640229,0.177157310718473,-0.184868842449683,0.853331909842053,0.88405065981588
"evm.model.pcontig_148.13",69.3278753290298,-1.40402353031145,0.372979918628002,-3.76434081351114,0.000166989004917934,0.000333845972895348
"evm.model.pcontig_148.14",3.22774529075699,4.6527800341122,1.33582158047707,3.48308494346268,0.000495671064226377,0.000935375004344029
"evm.model.pcontig_148.17",0.0635552954743862,0,2.36115904821376,0,1,NA
"evm.model.pcontig_148.12",818.602278613749,-1.07849058093316,0.212943710963113,-5.06467449099719,4.09098771188362e-07,1.08069241063624e-06
"evm.model.pcontig_148.9",29.1622090147204,2.74596816211665,0.494220494484596,5.55616003941786,2.75774041595423e-08,8.05699036348199e-08
"evm.model.pcontig_095.32",238.541987106777,0.136335555219099,0.209812780422842,0.649796237123104,0.515823849881764,0.573900246946258
"evm.model.pcontig_095.33",17.1116173032891,1.64302057161322,0.375556522246333,4.37489558638403,1.21490616547783e-05,2.77274329114019e-05
"evm.model.pcontig_095.36",65.8537877537696,4.83335780265605,0.745365322051636,6.48454879729596,8.89977175446522e-11,3.18216283398545e-10
"evm.model.pcontig_095.38",21.2902904653664,4.1866325131425,1.33953545367304,3.12543613658202,0.00177541615940299,0.00313259800670656
"evm.model.pcontig_095.6",409.574968983455,1.05715388481349,0.142070513005714,7.44105066172996,9.9887626910236e-14,4.42309509303044e-13
"evm.model.pcontig_095.18",103.557545083313,-2.90932975477219,0.255604241184529,-11.3821654182641,5.13096475323211e-30,5.87405854899451e-29
"evm.model.pcontig_095.10",15.1119255879927,4.6552857899696,1.47686561653836,3.15213905573965,0.00162079066910449,0.00287496232235722
"evm.model.pcontig_095.11",229.745084304504,2.9833959103209,0.242857033282761,12.2845769381005,1.09616955844016e-34,1.53126322137588e-33
"evm.model.pcontig_095.17",49.6950785488262,-3.46737767727491,0.465598463807852,-7.44714157541951,9.53842458286319e-14,4.23109214767157e-13
"evm.model.pcontig_095.16",31.9937499654563,-2.48775463175992,0.435813392966162,-5.70830238792839,1.14108559628206e-08,3.44937215518296e-08
"evm.model.pcontig_095.13",499.48948121041,-0.954183883596187,0.529638320892771,-1.80157637005531,0.0716120818000323,0.0988351712241712
"evm.model.pcontig_095.40",8.30450569877544,-2.7720304681671,1.03821775179927,-2.66998947317465,0.00758536250126618,0.0122818892059199
"evm.model.pcontig_095.14",14.2272369170489,6.32646208587734,0.792833575291738,7.97955874099983,1.46857343839019e-15,7.41365695552425e-15
"evm.model.pcontig_095.15",0.651860844827054,0.837790917472639,1.90460074175389,0.439877449958956,0.660025869003455,0.710658100467949
"evm.model.pcontig_095.43",8.61537563233254,-0.064062476954863,0.655422431644125,-0.0977422710329923,0.922136948808295,0.942805260063429
"evm.model.pcontig_095.42",17.6571427162762,-1.79833683665779,0.507700491630594,-3.54212151909097,0.000396922574469512,0.00075898148720137
"evm.model.pcontig_095.41",280.980774294649,2.26576283938205,0.199844182609184,11.3376472099415,8.54098861081608e-30,9.6715903661442e-29
"evm.model.pcontig_095.44",1.62770529290322,0.544268448915099,1.2462495197753,0.436725102219683,0.662310722250549,0.712598022681609
"evm.model.pcontig_095.3",57.6368710628761,-1.87067493533835,0.32501242070866,-5.75570290901348,8.62820131535763e-09,2.63612178630269e-08
"evm.model.pcontig_095.21",645.122942575145,0.964672125568622,0.326453280582429,2.95500821387838,0.00312660726626153,0.00534819967193997
"evm.model.pcontig_095.25",54.82569270533,-6.75553564298786,1.13775449115179,-5.93760402224297,2.89217542313212e-09,9.17687572857932e-09
"evm.model.pcontig_095.24",210.696364374997,12.6750154381448,1.20628468956042,10.5074826430597,7.97950816471135e-26,7.29867261019257e-25
"evm.model.pcontig_095.28",101.439757620198,1.11541562988002,0.216420018559024,5.15393925805348,2.55070594193951e-07,6.875562666218e-07
"evm.model.pcontig_095.4",39.370590046563,-0.682461758601167,0.307617585054901,-2.2185394845986,0.0265180704940249,0.0395203207876176
"evm.model.pcontig_095.5",148.697837584507,0.145322596245901,0.290427202435002,0.500375292078312,0.616810847593429,0.670300443555555
"evm.model.pcontig_095.8",381.581474708114,1.149094406348,0.137540786888738,8.35457199526962,6.56703854173723e-17,3.6515870295384e-16
"evm.model.pcontig_095.9",303.432616128251,-0.334606620423189,0.17719818191476,-1.88831858661027,0.0589831935611053,0.0827148041231283
"evm.model.pcontig_095.12",5.18171483777994,-3.02756948180507,1.22973192311997,-2.46197518734309,0.0138174225497682,0.0215182192440253
"evm.model.pcontig_096.10",1.85911937069441,-0.383424322482333,1.98861588195306,-0.192809645121493,0.84710804951236,0.878940401472579
"evm.model.pcontig_096.1",0.614099614918827,2.7793875693854,2.22709955725922,1.24798532707081,0.212036430643625,0.263135099282115
