"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.model.pcontig_225.6",0.0468699681463813,0,2.36115904821376,0,1,NA
"evm.model.pcontig_225.3",14.9045761527872,0,1.51173257096979,0,1,1
"evm.model.pcontig_225.8",0.159057103474258,1.0647010129998,2.36140692109743,0.450875706125649,0.652079133714566,NA
"evm.model.pcontig_225.9",2.19273618314575,-0.297987931326253,0.70361622508405,-0.423509181145811,0.671923801405,0.88600513041023
"evm.model.pcontig_166.5",27.6700412863821,1.06531714435202,0.647566061613274,1.64510959962604,0.0999472113029489,0.242143170533958
"evm.model.pcontig_166.6",361.901260489089,-0.640509132009158,0.243418176243424,-2.63131185145612,0.00850559484946998,0.0358592582447695
"evm.model.pcontig_166.3",304.159329068823,0.615432507164673,0.129536028158938,4.75105278362829,2.0236029558791e-06,2.81652145416338e-05
"evm.model.pcontig_166.4",169.250167005386,0.279860424606197,0.104972128256406,2.66604506600653,0.00767494038766769,0.0330396092970803
"evm.model.pcontig_166.8",0.265765913668376,0.47439370078633,2.36152570422666,0.200884411267368,0.840788957252611,NA
"evm.model.pcontig_189.3",1.84978031525124,-0.0376375683171555,1.02798288427039,-0.0366130301321784,0.97079355395391,1
"evm.model.pcontig_189.4",0.101175159116762,1.01209291224609,2.36115904821376,0.42864241314525,0.668183474795025,NA
"evm.model.pcontig_189.5",96.0623138358742,0.837601533719993,0.198883947327685,4.21150899795821,2.53670447780799e-05,0.000260965357182699
"evm.model.pcontig_189.8",0.166662686699241,0.131712888776389,2.31237229092558,0.0569600705272539,0.954577002575673,NA
"evm.model.pcontig_129.3",99.0816935553057,0.576046256219216,0.21987812366737,2.61984342330779,0.00879701473735716,0.0368342969567487
"evm.model.pcontig_129.2",7.40891043187134,0,1.58948811210173,0,1,1
"evm.model.pcontig_129.5",4.90785562263327,-1.52764880514786,1.05769916929309,-1.44431313694693,0.148650912101672,0.32482395025785
"evm.model.pcontig_129.4",52.5906583588045,0,1.62540487505372,0,1,1
"evm.model.pcontig_129.20",0.121549650015286,0,2.36115904821376,0,1,NA
"evm.model.pcontig_147.2",58.0938229025537,0.929796472261836,1.07691652973438,0.863387687522232,0.387924346711149,0.626154731830228
"evm.model.pcontig_147.1",0.0680554840591011,0,2.36115904821376,0,1,NA
"evm.model.pcontig_147.5",323.444202561468,-0.322220308941111,0.130342295979616,-2.47210858547023,0.0134318711305036,0.0516502300332274
"evm.model.pcontig_147.3",29.6340143458234,-0.695141965832517,1.22140815966131,-0.569131588268802,0.569266842882191,0.799259698427521
"evm.model.pcontig_147.7",863.13776289028,-0.385985443930182,0.126061341652311,-3.0618858951602,0.00219947279103517,0.0117203617788484
"evm.model.pcontig_147.4",19.2094047393009,-1.16735270422182,1.23110654271525,-0.948214198949165,0.343020420134769,0.578962498175074
"evm.model.pcontig_147.10",578.871544760139,-0.494326292243615,0.594357407702755,-0.83169871501094,0.405579026153633,0.645017716403801
"evm.model.pcontig_147.17",0.231927651050958,0.152394141412959,2.36163178846008,0.0645291709561246,0.948548880444288,NA
