Geneid,GS1,GS2,GS3,HE1,HE2,HE3,IT61,IT62,IT63,IT91,IT92,IT93,UG1,UG2,UG3
evm.model.hcontig_014_192.6,1,2,6,1,0,0,0,0,0,0,3,1,0,2,1
evm.model.hcontig_014_192.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_014_192.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
evm.model.hcontig_014_192.3,0,0,0,0,1,0,0,0,0,3,16,1,1,1,0
evm.model.hcontig_014_192.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_014_192.10,3,0,1,0,0,0,1,0,1,0,5,2,0,0,0
evm.model.hcontig_014_192.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_014_192.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_014_192.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_049_206.5,4,7,6,13,38,9,2,0,3,1992,2681,30,11,6,4
evm.model.hcontig_049_206.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_049_206.2,3176,2961,3260,1302,3301,1205,619,831,599,2444,10274,4534,3493,2655,2768
evm.model.hcontig_049_206.3,31,48,51,11,41,29,37,47,32,267,489,219,67,41,57
evm.model.hcontig_049_206.4,11,22,22,18,38,17,17,20,17,111,207,69,23,16,22
evm.model.hcontig_020_215.2,7437,7918,8100,801,2232,833,899,1130,952,2861,10235,5041,4924,3097,4287
evm.model.hcontig_020_215.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_057_232.2,44,28,45,5,23,13,16,27,25,133,395,165,80,62,82
evm.model.hcontig_057_232.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_034_158.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_034_158.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_034_158.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_034_158.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_034_158.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_034_158.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_034_158.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_034_158.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_034_158.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_034_158.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_031_159.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
evm.model.hcontig_031_159.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
evm.model.hcontig_031_159.9,3427,3351,4129,305,702,224,109,196,99,909,2794,910,1419,1175,1345
evm.model.hcontig_031_159.8,1538,1351,1633,127,387,177,76,159,59,563,2222,1041,709,691,670
evm.model.hcontig_031_159.10,983,828,939,121,291,119,384,127,345,821,4493,2800,265,187,248
evm.model.hcontig_031_159.11,547,503,514,59,152,71,93,76,70,393,1216,651,202,125,180
evm.model.hcontig_031_159.4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
evm.model.hcontig_031_159.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_031_159.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_031_159.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_017_160.11,882,839,957,181,609,184,105,193,99,469,1490,606,927,1047,780
evm.model.hcontig_017_160.13,90,62,91,1,6,0,3,6,7,30,189,85,29,15,27
evm.model.hcontig_017_160.18,297,271,316,55,218,44,12,29,9,167,462,208,79,77,93
evm.model.hcontig_017_160.14,104,79,94,6,6,4,8,7,5,34,192,104,28,30,29
evm.model.hcontig_017_160.16,2114,1749,1923,228,419,151,37,51,20,380,549,161,1512,1831,1500
evm.model.hcontig_017_160.17,2699,1943,2586,49,136,37,26,88,36,531,683,240,1992,2487,1994
evm.model.hcontig_017_160.10,2,2,0,26,71,32,16,10,7,19,54,41,1,1,3
evm.model.hcontig_017_160.12,1300,1390,1435,931,2597,743,171,248,170,617,2387,951,1517,1781,1321
