Geneid,GS1,GS2,GS3,HE1,HE2,HE3,IT61,IT62,IT63,IT91,IT92,IT93,UG1,UG2,UG3
evm.model.pcontig_193.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_225.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_225.6,0,0,1,2,2,0,1,0,1,2,19,1,2,0,0
evm.model.pcontig_225.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_225.3,0,1,0,547,1127,427,51,21,33,69,130,104,0,0,0
evm.model.pcontig_225.5,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0
evm.model.pcontig_225.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_225.8,4,7,6,0,0,0,0,0,0,1,12,5,1,4,4
evm.model.pcontig_225.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_225.9,212,162,208,4,19,6,5,19,7,87,302,119,71,66,84
evm.model.pcontig_164.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_164.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_164.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_164.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_166.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_166.11,112,94,125,13,23,15,10,29,9,69,151,52,93,59,79
evm.model.pcontig_166.10,2,0,1,0,0,0,0,0,0,1,2,1,0,1,0
evm.model.pcontig_166.5,10,10,8,38,96,33,2,0,1,65,97,18,10,3,15
evm.model.pcontig_166.6,2683,2338,3040,29,126,63,45,90,49,254,1233,624,941,628,839
evm.model.pcontig_166.3,656,612,757,79,176,50,96,153,110,439,1264,561,594,364,481
evm.model.pcontig_166.4,717,646,824,24,49,25,28,40,22,136,349,141,452,358,412
evm.model.pcontig_166.7,4,3,1,1,2,0,0,0,0,0,2,1,3,6,6
evm.model.pcontig_166.8,85,81,91,1,13,3,4,11,7,41,101,49,97,106,82
evm.model.pcontig_189.2,6,3,3,2,2,2,0,2,0,2,5,0,2,1,1
evm.model.pcontig_189.3,99,120,117,11,37,14,8,8,8,34,113,54,45,28,33
evm.model.pcontig_189.4,80,83,68,2,12,0,6,7,4,31,98,49,21,15,32
evm.model.pcontig_189.5,171,177,178,7,21,8,53,68,37,278,1129,478,165,107,144
evm.model.pcontig_189.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_189.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_189.1,55,42,51,0,5,0,2,7,2,28,53,15,31,26,26
evm.model.pcontig_189.8,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
evm.model.pcontig_129.3,389,324,416,1,6,7,12,5,16,123,364,212,267,243,262
evm.model.pcontig_129.2,0,0,0,14,40,11,0,0,0,0,2,3,0,0,0
evm.model.pcontig_129.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
