Geneid,GS1,GS2,GS3,HE1,HE2,HE3,IT61,IT62,IT63,IT91,IT92,IT93,UG1,UG2,UG3
evm.model.pcontig_193.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_225.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_225.6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
evm.model.pcontig_225.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_225.3,0,0,0,25,43,18,5,3,6,6,12,9,0,0,0
evm.model.pcontig_225.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_225.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_225.8,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0
evm.model.pcontig_225.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_225.9,8,7,12,0,0,0,1,0,1,3,9,5,3,4,3
evm.model.pcontig_164.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_164.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_164.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_164.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_166.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_166.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_166.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_166.5,10,10,8,38,96,33,2,0,1,65,97,18,10,3,15
evm.model.pcontig_166.6,2145,1892,2446,28,119,59,37,74,40,200,944,468,743,499,679
evm.model.pcontig_166.3,656,612,757,79,176,50,96,153,110,439,1264,561,594,364,481
evm.model.pcontig_166.4,717,646,824,24,49,25,28,40,22,136,349,141,452,358,412
evm.model.pcontig_166.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_166.8,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0
evm.model.pcontig_189.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_189.3,3,7,3,1,2,3,0,1,0,1,2,2,4,2,0
evm.model.pcontig_189.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
evm.model.pcontig_189.5,138,139,126,5,14,8,36,57,30,217,872,371,136,83,117
evm.model.pcontig_189.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_189.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_189.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_189.8,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
evm.model.pcontig_129.3,389,324,416,1,6,7,12,5,16,123,364,212,267,243,262
evm.model.pcontig_129.2,0,0,0,14,40,11,0,0,0,0,2,3,0,0,0
evm.model.pcontig_129.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
