"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PCA_SD_00137",48.08033101604,-0.0883653562318257,0.810658432942383,-0.109004424848938,0.913198980728893,0.961464321306503
"PCA_SD_00136",1288.05538976661,-0.292338651048087,0.208273762488436,-1.40362687817827,0.160429986995477,0.332573470779985
"PCA_SD_00135",721.655719394596,-0.246382808434541,0.14624155515501,-1.6847660582752,0.0920337158578525,0.220389276616424
"PCA_SD_00134",7.47555964297628,1.03926471996212,1.20049586368481,0.865696210541031,0.386656778672193,0.588204756554427
"PCA_SD_00133",0.534990273012915,0,2.21053281644708,0,1,NA
"PCA_SD_00132",213.179838228453,-0.43347154800224,0.455476161227344,-0.951688770789214,0.34125484596455,0.546257498234357
"PCA_SD_00131",2.87694411650526,0.969645347615004,1.28748831344834,0.753129436195003,0.451372137198471,0.646879577292497
"PCA_SD_00130",275.04824200881,-0.88622928063397,0.394769685096003,-2.24492739461099,0.0247727939686158,0.0782791010991225
"PCA_SD_00139",12.6392406407064,1.1169860945936,1.10779717352432,1.00829476847286,0.313312973754415,0.516608313763974
"PCA_SD_00138",17.1287036797066,0.854809741307992,1.05098380963295,0.81334244492932,0.416021748021134,0.615274942333039
"PCA_SD_00071",0.742766975868378,0,2.21051277506986,0,NA,NA
"PCA_SD_00077",4.07083446921373,-1.37875219508711,1.3339514486655,-1.03358499026815,0.301330219307023,0.50387480209001
"PCA_SD_00074",0.105601644811133,0,2.21054285820584,0,1,NA
"PCA_SD_00075",510.943061066098,-0.570970714487836,0.556001217464114,-1.02692349684412,0.304456489164366,0.507156245482332
"PCA_SD_00079",627.310335457486,-0.587651827187251,0.378058228996754,-1.55439501673245,0.120090221182991,0.267733271830689
"PCA_SD_00223",616.442892832599,0.460361387009648,0.416825528011474,1.10444623966739,0.269399611959062,0.469146239389537
"PCA_SD_00222",10989.7030452789,-1.03236442199043,0.278309343688976,-3.7094134473047,0.00020773995756677,0.00130686084417004
"PCA_SD_00227",19.0170657699266,-1.82827369207589,1.60096765393381,-1.14198040640207,0.253462164164534,0.450846343534424
"PCA_SD_00225",2594.40936148269,0.611141931592364,0.466903265225586,1.30892623185466,0.190559339927393,0.374771893502485
"PCA_SD_00224",335.691387105116,0.173200580857047,0.197657825967736,0.876264726726877,0.380886136058639,0.582741862909618
"PCA_SD_00228",0.256430804673117,-0.617248699720287,2.20918209983147,-0.279401458018048,0.779936752283739,NA
"PCA_SD_00146",130.952629968675,0.643073939482631,0.529198849038602,1.21518393445282,0.224295946428522,0.417895564145281
"PCA_SD_00147",82.6223778708502,0.932394040926166,0.648847315822103,1.4370006905936,0.150717797319127,0.316876102926298
"PCA_SD_00144",4.854819173119,-3.14138905828605,1.88147771803307,-1.66963925651488,0.0949907585459902,0.225471282615328
"PCA_SD_00145",1.25513592491547,0.118343834011958,1.79791733179585,0.0658227338482521,0.947518956490055,NA
"PCA_SD_00142",228.20075538742,0.000430336707361827,0.352035993442853,0.00122242246638818,0.999024648230204,1
"PCA_SD_00143",1007.10195365753,1.13703382068371,0.253503976239906,4.48527016242011,7.28216060126504e-06,6.16932714238692e-05
"PCA_SD_00140",1751.3179772163,0.197179751655752,0.222164273864234,0.887540324220849,0.374788066138515,0.576798680730629
"PCA_SD_00141",942.453638369981,-0.119773542588433,0.31811348753938,-0.376511991097535,0.706536302628675,0.834918589662492
"PCA_SD_00148",119.484896107819,0.358227692170555,0.440997546361902,0.812312211543637,0.416612505244347,0.615675627664186
"PCA_SD_00149",330.714726221408,4.11482984232332,1.11628746751707,3.68617400271977,0.000227650730007978,0.00141455021066933
"PCA_SD_00258",0.165059327970751,0,2.21054285820584,0,1,NA
"PCA_SD_00259",0.172824246584034,0,2.21054285820584,0,1,NA
"PCA_SD_00252",799.364206189636,-0.454545744424448,0.162335857967094,-2.80003290780393,0.00510973972459892,0.0213161892459283
"PCA_SD_00253",469.24620017766,0.855546998601858,0.333747659729012,2.56345467499764,0.0103636231362761,0.0383211189729765
"PCA_SD_00250",1243.92439050667,-0.0380592396281857,0.193825957727574,-0.196357805086555,0.844330119976271,0.920140104706931
"PCA_SD_00256",9000.45386266311,-3.09380416869426,0.206352697177937,-14.9927973368165,8.18327305560129e-51,2.25040009029036e-48
"PCA_SD_00254",1648.4461920407,-1.28570290809407,0.192854921145002,-6.66668447172987,2.61646763776063e-11,4.82442548150308e-10
"PCA_SD_00255",348.250171093973,0.0353883181694707,0.336372096604714,0.105205867331668,0.916212455104877,0.962595295975722
"PCA_SD_00021",880.469252162861,-0.488538076830938,0.195858175485253,-2.49434610335028,0.0126189434046547,0.0452355047559783
"PCA_SD_00020",0.401610882707057,-1.74734213515561,2.21004383164645,-0.790636868886836,0.429155925658153,NA
"PCA_SD_00023",2.57152385337357,-1.2996088242678,1.44694252924108,-0.898175841821058,0.36909181063205,0.572246887457068
"PCA_SD_00022",730.935478132111,-0.100316181970337,0.297387415588019,-0.337324905870624,0.735871986650065,0.855538706878245
"PCA_SD_00025",0.380324986850394,0.112596425409147,2.20876202264895,0.0509771646988527,0.959343716814936,NA
"PCA_SD_00024",0.086628093251585,0,2.21054285820584,0,1,NA
