"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PCA_SD_00137",48.08033101604,0.0542790748947158,0.612901654526632,0.0885608229213179,0.929430944477145,0.959946216179127
"PCA_SD_00136",1288.05538976661,0.151661339131241,0.198062571401157,0.765724377192225,0.443840319088532,0.547498646781857
"PCA_SD_00135",721.655719394596,1.31954020992364,0.12568084520905,10.4991353911473,8.71749105282209e-26,8.84619416875942e-25
"PCA_SD_00134",7.47555964297628,3.21911305135082,1.02433840403535,3.14262653696202,0.00167439323662405,0.00369578126088503
"PCA_SD_00133",0.534990273012915,0,2.21053281644708,0,1,NA
"PCA_SD_00132",213.179838228453,-0.896477451797365,0.42734797779267,-2.09776926154614,0.0359255331075654,0.0621672115372608
"PCA_SD_00131",2.87694411650526,0.444827185082984,0.898650730473847,0.494994517890651,0.620603990249469,0.712916672921674
"PCA_SD_00130",275.04824200881,-0.0340335240025925,0.370957726372927,-0.0917450199389521,0.926900627462375,0.958413947361056
"PCA_SD_00139",12.6392406407064,0.306255827534667,0.698680727396084,0.43833444308111,0.661143861409168,0.749054199025113
"PCA_SD_00138",17.1287036797066,0.368263559303276,0.638886263590813,0.576414896187434,0.564334778140235,0.662449227214599
"PCA_SD_00071",0.742766975868378,0,2.21051277506986,0,NA,NA
"PCA_SD_00077",4.07083446921373,2.57814694872805,1.36476691050297,1.88907492472681,0.0588817898680249,0.0968988433422725
"PCA_SD_00074",0.105601644811133,-1.44731834499269,2.21050037904476,-0.654746933641393,0.512630701998424,NA
"PCA_SD_00075",510.943061066098,-1.02652609493293,0.547439459645641,-1.87514085228237,0.0607733486812372,0.0995192542731187
"PCA_SD_00079",627.310335457486,6.8745964207678,0.7016847803605,9.79727167124229,1.15667656884281e-22,1.00891162646103e-21
"PCA_SD_00223",616.442892832599,0.614480321736687,0.405602525945544,1.51498149648897,0.129777090075693,0.194082071174992
"PCA_SD_00222",10989.7030452789,3.02780689368685,0.278362924655426,10.8771917001334,1.48054143844868e-27,1.61870437225937e-26
"PCA_SD_00227",19.0170657699266,-6.70543538882376,1.34575535296393,-4.98265555775463,6.27175342504755e-07,2.01250475606101e-06
"PCA_SD_00225",2594.40936148269,0.0953121154604155,0.463439042824089,0.205662679776839,0.837054412543897,0.887692426405323
"PCA_SD_00224",335.691387105116,0.16104647554416,0.150172429353936,1.07241040340764,0.283535737229355,0.379249280077147
"PCA_SD_00228",0.256430804673117,1.32589280188669,2.20918209983147,0.600173612663181,0.548390537505333,NA
"PCA_SD_00146",130.952629968675,0.21647477094201,0.47861456410977,0.452294575165417,0.651056783494295,0.740346545727798
"PCA_SD_00147",82.6223778708502,-0.0163785570053533,0.523535742968703,-0.03128450583427,0.975042646913584,0.992340932483401
"PCA_SD_00144",4.854819173119,0.138267120686214,1.86251395949328,0.0742368238269909,0.940821945499554,0.967858137906646
"PCA_SD_00145",1.25513592491547,-0.070994432174187,1.6717194056401,-0.0424679117408483,0.966125691383786,0.986506475009095
"PCA_SD_00142",228.20075538742,-0.410970134202112,0.300742073605021,-1.36652025197465,0.171775728770078,0.246864756568093
"PCA_SD_00143",1007.10195365753,0.233813028968961,0.232135749328681,1.00722542583436,0.313826457216971,0.413488916793223
