"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PCA_SD_00137",48.08033101604,3.11854903646872,0.604721722684527,5.15699853252273,2.50939768960886e-07,6.83809281789845e-07
"PCA_SD_00136",1288.05538976661,0.661709867327864,0.198151779686258,3.3394091558278,0.000839568059007013,0.00167121566462717
"PCA_SD_00135",721.655719394596,1.65848158044012,0.126071838484098,13.1550519162875,1.59174141688934e-39,1.84975479342831e-38
"PCA_SD_00134",7.47555964297628,1.6147321631773,1.04688711454562,1.54241287407396,0.122973295074023,0.172892034007259
"PCA_SD_00133",0.534990273012915,2.38250341661708,2.20901019398601,1.0785388963362,0.280793333253556,0.354851417342429
"PCA_SD_00132",213.179838228453,-1.3763135250792,0.429303953371635,-3.20591859047654,0.00134632072018384,0.00261134774151014
"PCA_SD_00131",2.87694411650526,1.01904313310674,0.90241942299489,1.12923448580574,0.258798929564118,0.331579388146146
"PCA_SD_00130",275.04824200881,1.52158090438159,0.370172119612103,4.11046868136916,3.94856836179423e-05,8.99842103796436e-05
"PCA_SD_00139",12.6392406407064,1.0432729024631,0.698764906768597,1.49302418074723,0.135430857391067,0.18868092392352
"PCA_SD_00138",17.1287036797066,2.00715454486315,0.632685764212899,3.17243513035286,0.00151166326307015,0.00291366798744365
"PCA_SD_00071",0.742766975868378,2.68345794493895,2.20878434185347,1.21490264761981,NA,NA
"PCA_SD_00077",4.07083446921373,4.8497167308879,1.34447159747773,3.60715446870438,0.000309573381169208,0.000646230679876207
"PCA_SD_00074",0.105601644811133,-1.07355202462413,2.21050037904476,-0.485660185721414,0.627208116662255,NA
"PCA_SD_00075",510.943061066098,-2.22977643357487,0.548783855238148,-4.06312323566306,4.84204491516236e-05,0.000109349937737801
"PCA_SD_00079",627.310335457486,11.0699669311031,0.700535430179112,15.8021514033527,3.00677452554313e-56,5.53092319134523e-55
"PCA_SD_00223",616.442892832599,-0.371428590190821,0.406329040416119,-0.914107910698294,0.360660146202973,0.437156875621568
"PCA_SD_00222",10989.7030452789,2.95900693446859,0.278391356961431,10.6289468421914,2.1856663192129e-26,1.59782304762568e-25
"PCA_SD_00227",19.0170657699266,-3.90640462849217,1.26969177739172,-3.07665584518232,0.00209336840977251,0.00395691857677182
"PCA_SD_00225",2594.40936148269,0.25986713307639,0.463480388692557,0.560686362176953,0.575011365835431,0.646842704134965
"PCA_SD_00224",335.691387105116,-0.341428280142648,0.152783557189251,-2.2347187513099,0.0254358187806699,0.0407495676490679
"PCA_SD_00228",0.256430804673117,0.816745463593297,2.2102322868245,0.369529242904482,0.711733280464905,NA
"PCA_SD_00146",130.952629968675,-0.70173739381355,0.481405998734751,-1.45768311084175,0.144927909323031,0.200233235376339
"PCA_SD_00147",82.6223778708502,1.05288529646253,0.522971556791996,2.01327449416394,0.0440857600795423,0.0677627287838816
"PCA_SD_00144",4.854819173119,-2.25195505877086,1.94793286528772,-1.15607426667563,0.247650780766671,0.31957909243676
"PCA_SD_00145",1.25513592491547,-0.496128305211249,1.69232364331888,-0.293163962561129,0.769396828211738,0.818453862038999
"PCA_SD_00142",228.20075538742,0.584843502051422,0.30040802430697,1.94683049296248,0.0515550599134641,0.0782819246125
"PCA_SD_00143",1007.10195365753,-0.0211596970082269,0.232511567090074,-0.0910049219187005,0.927488680162116,0.952357412903104
"PCA_SD_00140",1751.3179772163,0.963912436052316,0.214440658403994,4.49500781813661,6.95673911102661e-06,1.69715415039124e-05
"PCA_SD_00141",942.453638369981,0.338148536386164,0.303445378094114,1.11436377284773,0.265123158315344,0.338352740350025
"PCA_SD_00148",119.484896107819,0.607574276341558,0.358915010740589,1.69280820851678,0.0904919797293059,0.130972991777681
"PCA_SD_00149",330.714726221408,-5.45867450775208,0.39187384673406,-13.9296729119474,4.18266582107582e-44,5.62620836257461e-43
"PCA_SD_00258",0.165059327970751,1.35393847587341,2.21004546770781,0.612629240283312,0.540121519554548,NA
"PCA_SD_00259",0.172824246584034,1.38949587914248,2.21000682355214,0.628729225780918,0.52952634121715,NA
"PCA_SD_00252",799.364206189636,-3.12947464839557,0.165127113628866,-18.9519127393535,4.25820599636763e-80,1.27639428208669e-78
"PCA_SD_00253",469.24620017766,-1.11953676710639,0.287056218742007,-3.90006101248265,9.61684499920384e-05,0.000211456618382576
"PCA_SD_00250",1243.92439050667,-1.35780770393563,0.189867718183305,-7.15133523975232,8.59378258289176e-13,3.28400903318531e-12
"PCA_SD_00256",9000.45386266311,5.23521178277082,0.206155048279062,25.3945359401734,2.89789702309632e-142,2.15063930107169e-140
