Geneid,GS1,GS2,GS3,IT21,IT22,IT23,IT51,IT52,IT53,HS1,HS2,HS3
PCA_SD_00137,14,35,30,0,0,6,41,74,41,462,151,200
PCA_SD_00136,1463,1613,1947,108,184,184,3382,3848,3308,3876,2205,2876
PCA_SD_00135,432,450,593,81,120,101,2258,2310,2344,1965,1854,1448
PCA_SD_00134,2,0,6,0,3,0,59,49,45,17,11,2
PCA_SD_00133,0,0,0,0,0,0,0,0,0,0,10,2
PCA_SD_00132,358,599,657,16,42,25,487,656,476,154,434,112
PCA_SD_00131,4,2,7,0,0,0,12,10,11,16,11,4
PCA_SD_00130,218,295,294,30,37,32,465,634,404,1319,432,884
PCA_SD_00139,15,24,12,0,2,0,39,55,30,16,73,34
PCA_SD_00138,9,20,17,2,0,0,32,39,41,37,61,106
PCA_SD_00072,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_00073,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_00070,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_00071,0,0,0,0,0,0,0,0,0,18,0,0
PCA_SD_00076,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_00077,0,0,1,0,2,0,11,4,2,22,14,18
PCA_SD_00074,0,2,0,0,0,0,0,0,0,0,0,0
PCA_SD_00075,1182,1340,1650,56,72,76,1304,1433,1083,79,670,227
PCA_SD_00078,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_00079,0,0,4,10,32,22,311,499,310,3105,5867,3339
PCA_SD_00223,797,906,1050,30,114,84,2325,3289,2432,1143,327,903
PCA_SD_00222,1985,2174,2160,1591,3305,2731,32857,36421,29948,23968,10842,21016
PCA_SD_00221,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_00220,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_00227,110,110,133,0,0,0,0,4,0,18,0,4
PCA_SD_00226,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_00225,3822,4088,4987,132,262,240,8143,9927,8040,2962,12219,2620
