# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "8" "-t" "exon" "-g" "Parent" "-a" "/home/benjamin/genome_assembly/PST79/FALCON/p_assemblies/v9_1/032017_assembly/Pst_104E_v12_p_ctg.anno.gff3" "-G" "/home/benjamin/genome_assembly/PST79/FALCON/p_assemblies/v9_1/032017_assembly/Pst_104E_v12_p_ctg.fa" "-o" "Pst_104E_v12_p_ctg.in_house_IDParent.STAR.featureCounts.txt" "-p" "GS_DG_S12412_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam" "GS_DG_S18112_CGATGT_L001_R1_001Aligned.sortedByCoord.out.bam" "GS_DG_S22312_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H17412_TGACCA_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H1_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H2_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_4_GTGAAA_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_5_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_6_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_7_TAGCTT_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_8_GGCTAC_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_9_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG_10_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG1_CGATGT_L003_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG2_TGACCA_L003_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_1_ACAGTG_L001_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_2_GCCAAT_L001_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_3_CTTGTA_L001_R1_001Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	GS_DG_S12412_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam	GS_DG_S18112_CGATGT_L001_R1_001Aligned.sortedByCoord.out.bam	GS_DG_S22312_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H17412_TGACCA_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H1_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H2_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_4_GTGAAA_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_5_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_6_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_7_TAGCTT_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_8_GGCTAC_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_9_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam	IT9_DG_10_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam	IT9_DG1_CGATGT_L003_R1_001Aligned.sortedByCoord.out.bam	IT9_DG2_TGACCA_L003_R1_001Aligned.sortedByCoord.out.bam	UG_DG_1_ACAGTG_L001_R1_001Aligned.sortedByCoord.out.bam	UG_DG_2_GCCAAT_L001_R1_001Aligned.sortedByCoord.out.bam	UG_DG_3_CTTGTA_L001_R1_001Aligned.sortedByCoord.out.bam
evm.model.pcontig_193.6	pcontig_193	5386	5862	+	477	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_225.7	pcontig_225	22308	22664	+	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_225.6	pcontig_225;pcontig_225;pcontig_225;pcontig_225	18672;19121;19464;19996	19050;19398;19915;21163	-;-;-;-	2277	0	0	1	2	2	0	0	0	0	1	0	1	2	19	1	2	0	0
evm.model.pcontig_225.1	pcontig_225;pcontig_225	2067;2215	2145;2309	+;+	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_225.3	pcontig_225;pcontig_225;pcontig_225;pcontig_225;pcontig_225	3999;4205;4551;4750;5333	4142;4484;4682;5267;5386	+;+;+;+;+	1128	0	1	0	547	1127	427	0	0	0	51	21	33	69	130	104	0	0	0
evm.model.pcontig_225.5	pcontig_225	17272	18147	+	876	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0
evm.model.pcontig_225.2	pcontig_225;pcontig_225	2658;2797	2729;2883	+;+	159	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_225.8	pcontig_225;pcontig_225;pcontig_225	23727;24052;24223	23984;24164;24271	+;+;+	420	4	7	6	0	0	0	0	0	0	0	0	0	1	12	5	1	4	4
evm.model.pcontig_225.4	pcontig_225;pcontig_225;pcontig_225	13375;14185;14789	14117;14715;15212	+;+;+	1698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_225.9	pcontig_225;pcontig_225;pcontig_225;pcontig_225;pcontig_225;pcontig_225	24709;25240;25496;25938;26178;26381	25162;25404;25856;26100;26308;26945	+;+;+;+;+;+	1839	212	162	208	4	19	6	0	0	0	5	19	7	87	302	119	71	66	84
evm.model.pcontig_164.4	pcontig_164;pcontig_164	46396;46486	46402;47066	+;+	588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_164.3	pcontig_164	43527	43895	-	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_164.2	pcontig_164	28239	29063	+	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_164.1	pcontig_164;pcontig_164	17534;17626	17551;17856	-;-	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_166.1	pcontig_166	4382	4753	-	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.pcontig_166.11	pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166;pcontig_166	45961;46117;46403;46640;46799;47050;47187	46019;46283;46514;46707;46949;47108;47339	-;-;-;-;-;-;-	769	112	94	125	13	23	15	0	0	0	10	29	9	69	151	52	93	59	79
