# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "8" "-t" "exon" "-g" "Parent" "-a" "/home/benjamin/genome_assembly/PST79/FALCON/p_assemblies/v9_1/032017_assembly/Pst_104E_v12_h_ctg.anno.gff3" "-G" "/home/benjamin/genome_assembly/PST79/FALCON/p_assemblies/v9_1/032017_assembly/Pst_104E_v12_h_ctg.fa" "-o" "Pst_104E_v12_h_ctg.in_house.STAR.featureCounts.txt" "-p" "GS_DG_S12412_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam" "GS_DG_S18112_CGATGT_L001_R1_001Aligned.sortedByCoord.out.bam" "GS_DG_S22312_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H17412_TGACCA_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H1_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H2_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_4_GTGAAA_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_5_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_6_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_7_TAGCTT_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_8_GGCTAC_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_9_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG_10_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG1_CGATGT_L003_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG2_TGACCA_L003_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_1_ACAGTG_L001_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_2_GCCAAT_L001_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_3_CTTGTA_L001_R1_001Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	GS_DG_S12412_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam	GS_DG_S18112_CGATGT_L001_R1_001Aligned.sortedByCoord.out.bam	GS_DG_S22312_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H17412_TGACCA_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H1_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H2_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_4_GTGAAA_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_5_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_6_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_7_TAGCTT_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_8_GGCTAC_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_9_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam	IT9_DG_10_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam	IT9_DG1_CGATGT_L003_R1_001Aligned.sortedByCoord.out.bam	IT9_DG2_TGACCA_L003_R1_001Aligned.sortedByCoord.out.bam	UG_DG_1_ACAGTG_L001_R1_001Aligned.sortedByCoord.out.bam	UG_DG_2_GCCAAT_L001_R1_001Aligned.sortedByCoord.out.bam	UG_DG_3_CTTGTA_L001_R1_001Aligned.sortedByCoord.out.bam
evm.model.hcontig_014_192.6	hcontig_014_192;hcontig_014_192	26367;27195	27128;27785	+;+	1353	1	2	6	1	0	0	0	0	0	0	0	0	0	3	1	0	2	1
evm.model.hcontig_014_192.4	hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192	20324;20441;20776;20948;21150	20360;20709;20851;21062;21477	+;+;+;+;+	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_014_192.5	hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192	21893;22098;22242;22402;22625;22745;22899;23102;23555;23767;24030;24296;24514;24795;25092;25324;25642	22030;22162;22331;22557;22673;22814;23032;23484;23675;23937;24223;24416;24694;25015;25235;25565;25780	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2619	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
evm.model.hcontig_014_192.3	hcontig_014_192;hcontig_014_192;hcontig_014_192	16637;16812;17005	16723;16909;17518	-;-;-	699	0	0	0	0	1	0	0	0	0	0	0	0	3	16	1	1	1	0
evm.model.hcontig_014_192.8	hcontig_014_192	33268	33603	+	336	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_014_192.10	hcontig_014_192;hcontig_014_192	36884;36964	36886;37305	+;+	345	3	0	1	0	0	0	0	0	0	1	0	1	0	5	2	0	0	0
evm.model.hcontig_014_192.7	hcontig_014_192;hcontig_014_192;hcontig_014_192	28923;29645;29981	29530;29880;30576	-;-;-	1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_014_192.1	hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192	2476;2857;3107;3219;3633	2785;3033;3154;3554;3661	+;+;+;+;+	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_014_192.9	hcontig_014_192;hcontig_014_192;hcontig_014_192;hcontig_014_192	34118;34293;34572;34827	34227;34500;34749;34996	-;-;-;-	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_049_206.5	hcontig_049_206;hcontig_049_206;hcontig_049_206;hcontig_049_206;hcontig_049_206;hcontig_049_206;hcontig_049_206;hcontig_049_206;hcontig_049_206;hcontig_049_206	29928;30931;31076;31851;32270;32692;32808;32941;33024;33161	30259;30953;31439;31932;32574;32702;32863;32950;33070;33214	+;+;+;+;+;+;+;+;+;+	1284	4	7	6	13	38	9	0	0	0	2	0	3	1992	2681	30	11	6	4
evm.model.hcontig_049_206.1	hcontig_049_206;hcontig_049_206	6287;6485	6402;6686	-;-	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_049_206.2	hcontig_049_206;hcontig_049_206;hcontig_049_206;hcontig_049_206	7716;7904;8623;9076	7802;8539;8987;9148	+;+;+;+	1161	3176	2961	3260	1302	3301	1205	0	0	0	619	831	599	2444	10274	4534	3493	2655	2768
