Primary protein ID	Haplotig protein ID	CDS Levenshtein distance	Protein Levenshtein distance	Blastp PctID	dN/dS	Primary protein classification	Haplotig protein classification
evm.model.pcontig_000.100	evm.model.hcontig_000_003.107	0.02208835341365462	0.02495697074010327	99.21	0.3790322580645162	Other	Other
evm.model.pcontig_000.101	evm.model.hcontig_000_003.108	0.07062146892655367	0.11016949152542373	89.03	1.4089709762532985	Other	Other
evm.model.pcontig_000.102	evm.model.hcontig_000_003.109	0.0	0.0	100.0		Other	Other
evm.model.pcontig_000.103	evm.model.hcontig_000_003.110	0.08156028368794327	0.09574468085106384	97.73		Other	Other
evm.model.pcontig_000.104	evm.model.hcontig_000_003.111	0.0049751243781094535	0.01492537313432836	98.53		Other	Other
evm.model.pcontig_000.105	evm.model.hcontig_000_003.112	0.0	0.0	100.0		Other	Other
evm.model.pcontig_000.109	evm.model.hcontig_000_003.117	0.002936857562408223	0.007342143906020558	99.27	1.8888888888888888	Other	Other
evm.model.pcontig_000.10	evm.model.hcontig_000_031.5	0.29791666666666666	0.3	70.19	0.4432989690721649	Other	Other
evm.model.pcontig_000.110	evm.model.hcontig_000_003.118	0.009737827715355805	0.008988764044943821	99.1	0.20920502092050208	Other	Other
evm.model.pcontig_000.111	evm.model.hcontig_000_003.119	0.008583690987124462	0.012875536480686695	98.72	0.4565217391304348	Other	Other
evm.model.pcontig_000.112	evm.model.hcontig_000_003.120	0.0	0.0	100.0		Candidate effector	Candidate effector
evm.model.pcontig_000.116	evm.model.hcontig_000_003.122	0.026468155500413558	0.02729528535980149	97.28	0.2417355371900827	Other	Other
evm.model.pcontig_000.117	evm.model.hcontig_000_003.123	0.0009285051067780873	0.0027855153203342627	99.72		Other	Other
evm.model.pcontig_000.119	evm.model.hcontig_000_003.126	0.12014134275618375	0.1060070671378092	99.22	0.04973118279569893	BUSCO	BUSCO
evm.model.pcontig_000.11	evm.model.hcontig_000_003.12	0.01783517835178352	0.0	100.0	-0.0	BUSCO	BUSCO
evm.model.pcontig_000.121	evm.model.hcontig_006_131.3	0.005076142131979695	0.005076142131979695	99.49	0.21428571428571427	Other	Other
evm.model.pcontig_000.124	evm.model.hcontig_000_003.139	0.13680154142581888	0.12716763005780346	100.0	-0.0	Other	Other
evm.model.pcontig_000.129	evm.model.hcontig_000_003.144	0.0196078431372549	0.018382352941176468	98.17	0.13366336633663364	Other	Other
evm.model.pcontig_000.12	evm.model.hcontig_000_003.13	0.014358974358974359	0.021538461538461538	97.85	0.5296803652968036	Other	Other
evm.model.pcontig_000.132	evm.model.hcontig_000_003.146	0.00035236081747709656	0.0010570824524312897	99.89		Other	Other
evm.model.pcontig_000.133	evm.model.hcontig_000_003.147	0.0	0.0	100.0		Other	Other
evm.model.pcontig_000.134	evm.model.hcontig_000_003.148	0.045608927704997575	0.046579330422125184	99.77	0.6111111111111112	Other	Other
evm.model.pcontig_000.135	evm.model.hcontig_000_003.149	0.007511737089201878	0.0028169014084507052	99.72	0.049808429118773936	Other	Other
evm.model.pcontig_000.136	evm.model.hcontig_000_003.150	0.027334851936218683	0.03416856492027335	97.24	0.5291970802919708	Other	Other
evm.model.pcontig_000.137	evm.model.hcontig_000_003.151	0.006060606060606061	0.003636363636363637	99.64	0.08465608465608468	Other	Other
evm.model.pcontig_000.138	evm.model.hcontig_000_003.152	0.001221001221001221	0.002442002442002442	99.76	0.8571428571428571	Other	Other
evm.model.pcontig_000.139	evm.model.hcontig_000_003.153	0.016203703703703703	0.013888888888888888	98.61	0.1076487252124646	Other	Other
evm.model.pcontig_000.13	evm.model.hcontig_000_003.14	0.003093580819798917	0.002320185614849188	99.77	0.13253012048192772	Other	Other
evm.model.pcontig_000.140	evm.model.hcontig_000_003.154	0.00038138825324180017	0.0	100.0	-0.0	Other	Other
