Primary protein ID	Haplotig protein ID	CDS Levenshtein distance	Protein Levenshtein distance	Blastp PctID	dN/dS	Primary protein classification	Haplotig protein classification
Pst104E_00091	Pst104E_16019	0.02208835341365462	0.02495697074010327	99.21	0.3790322580645162	Other	Other
Pst104E_00092	Pst104E_16020	0.07062146892655367	0.11016949152542373	89.03	1.4089709762532985	Other	Other
Pst104E_00093	Pst104E_16021	0.0	0.0	100.0		Other	Other
Pst104E_00094	Pst104E_16022	0.08156028368794327	0.09574468085106384	97.73		Other	Other
Pst104E_00095	Pst104E_16023	0.0049751243781094535	0.01492537313432836	98.53		Other	Other
Pst104E_00096	Pst104E_16024	0.0	0.0	100.0		Other	Other
Pst104E_00098	Pst104E_16026	0.002936857562408223	0.007342143906020558	99.27	1.8888888888888888	Other	Other
Pst104E_00009	Pst104E_16335	0.29791666666666666	0.3	70.19	0.4432989690721649	Other	Other
Pst104E_00099	Pst104E_16027	0.009737827715355805	0.008988764044943821	99.1	0.20920502092050208	Other	Other
Pst104E_00100	Pst104E_16028	0.008583690987124462	0.012875536480686695	98.72	0.4565217391304348	Other	Other
Pst104E_00101	Pst104E_16029	0.0	0.0	100.0		Candidate effector	Candidate effector
Pst104E_00105	Pst104E_16031	0.026468155500413558	0.02729528535980149	97.28	0.2417355371900827	Other	Other
Pst104E_00106	Pst104E_16032	0.0009285051067780873	0.0027855153203342627	99.72		Other	Other
Pst104E_00108	Pst104E_16035	0.12014134275618375	0.1060070671378092	99.22	0.04973118279569893	BUSCO	BUSCO
Pst104E_00010	Pst104E_15937	0.01783517835178352	0.0	100.0	-0.0	BUSCO	BUSCO
Pst104E_00110	Pst104E_19370	0.005076142131979695	0.005076142131979695	99.49	0.21428571428571427	Other	Other
Pst104E_00111	Pst104E_16042	0.13680154142581888	0.12716763005780346	100.0	-0.0	Other	Other
Pst104E_00113	Pst104E_16044	0.0196078431372549	0.018382352941176468	98.17	0.13366336633663364	Other	Other
Pst104E_00011	Pst104E_15938	0.014358974358974359	0.021538461538461538	97.85	0.5296803652968036	Other	Other
Pst104E_00116	Pst104E_16046	0.00035236081747709656	0.0010570824524312897	99.89		Other	Other
Pst104E_00117	Pst104E_16047	0.0	0.0	100.0		Other	Other
Pst104E_00118	Pst104E_16048	0.045608927704997575	0.046579330422125184	99.77	0.6111111111111112	Other	Other
Pst104E_00119	Pst104E_16049	0.007511737089201878	0.0028169014084507052	99.72	0.049808429118773936	Other	Other
Pst104E_00120	Pst104E_16050	0.027334851936218683	0.03416856492027335	97.24	0.5291970802919708	Other	Other
Pst104E_00121	Pst104E_16051	0.006060606060606061	0.003636363636363637	99.64	0.08465608465608468	Other	Other
Pst104E_00122	Pst104E_16052	0.001221001221001221	0.002442002442002442	99.76	0.8571428571428571	Other	Other
Pst104E_00123	Pst104E_16053	0.016203703703703703	0.013888888888888888	98.61	0.1076487252124646	Other	Other
Pst104E_00012	Pst104E_15939	0.003093580819798917	0.002320185614849188	99.77	0.13253012048192772	Other	Other
Pst104E_00124	Pst104E_16054	0.00038138825324180017	0.0	100.0	-0.0	Other	Other
Pst104E_00125	Pst104E_16055	0.017094017094017096	0.010256410256410256	98.98	0.1358574610244989	Other	Other
Pst104E_00126	Pst104E_16056	0.014005602240896359	0.021608643457382955	97.84	0.4796380090497737	Other	Other
Pst104E_00127	Pst104E_16057	0.3715596330275229	0.3715596330275229	100.0		Other	Other
Pst104E_00128	Pst104E_16058	0.02044989775051125	0.030674846625766868	96.95	0.4662576687116565	Other	Candidate effector
Pst104E_00129	Pst104E_16059	0.09130913091309133	0.10891089108910892	92.18	1.3984962406015038	Other	Other
Pst104E_00130	Pst104E_16060	0.0005757052389176742	0.0017271157167530224	99.83		Other	Other
Pst104E_00132	Pst104E_16061	0.001594896331738437	0.0023923444976076554	99.76	0.3928571428571429	Other	Other
